Data,Talhao,Cultura,Umidade_Solo_Pct,Precipitacao_mm,Temperatura_C,Fertilizante_kg_ha,Produtividade_kg_ha
2024-01-10,Talhão 05,Soja,27.21,0.0,27.65,114.6,1748.88
2024-01-10,Talhão 01,Soja,17.98,2.0,26.86,151.73,3101.24
2024-01-10,Talhão 06,Trigo,21.69,2.25,19.4,113.63,2587.69
2024-01-10,Talhão 05,Algodão,30.38,0.0,31.45,174.6,1752.45
2024-01-10,Talhão 08,Trigo,14.96,0.0,9.81,141.03,2011.68
2024-01-11,Talhão 01,Soja,11.93,0.0,18.95,104.22,1706.61
2024-01-11,Talhão 03,Algodão,25.45,0.0,34.58,179.75,1701.93
2024-01-11,Talhão 07,Algodão,22.02,0.0,27.56,196.61,2200.24
2024-01-11,Talhão 04,Milho,29.75,1.09,27.74,155.1,5313.82
2024-01-11,Talhão 08,Trigo,17.78,0.0,26.43,135.14,2655.23
2024-01-11,Talhão 02,Algodão,25.04,0.0,36.93,164.52,1261.27
2024-01-11,Talhão 10,Trigo,27.48,0.0,11.11,123.61,2161.33
2024-01-11,Talhão 09,Soja,23.63,0.0,25.55,154.34,3300.72
2024-01-11,Talhão 10,Soja,26.73,0.0,34.41,153.68,2139.16
2024-01-11,Talhão 06,Algodão,28.5,18.26,25.05,181.11,1705.07
2024-01-12,Talhão 08,Algodão,19.33,0.0,27.06,159.76,1672.28
2024-01-12,Talhão 09,Milho,23.14,0.0,26.85,193.28,8192.65
2024-01-12,Talhão 03,Milho,13.4,0.0,27.97,195.38,6708.17
2024-01-12,Talhão 06,Milho,14.47,0.0,26.66,200.01,6633.44
2024-01-12,Talhão 01,Trigo,19.88,0.0,20.07,117.7,2758.08
2024-01-12,Talhão 01,Soja,18.03,0.0,30.43,170.8,3147.92
2024-01-12,Talhão 02,Milho,33.98,0.0,20.33,192.87,5575.01
2024-01-12,Talhão 08,Soja,19.08,0.0,25.55,151.27,3286.89
2024-01-12,Talhão 01,Algodão,25.12,0.0,28.72,164.59,1505.59
2024-01-12,Talhão 08,Milho,14.66,8.14,32.06,217.24,6848.31
2024-01-13,Talhão 08,Milho,36.55,28.9,34.25,194.48,5680.27
2024-01-13,Talhão 07,Trigo,25.84,18.85,21.15,147.35,2782.79
2024-01-13,Talhão 01,Algodão,27.95,4.51,22.51,203.7,1626.27
2024-01-13,Talhão 09,Milho,29.93,15.13,26.17,203.33,6561.87
2024-01-13,Talhão 07,Trigo,13.29,0.0,19.68,137.39,2653.93
2024-01-13,Talhão 09,Algodão,14.0,0.0,33.09,202.06,1968.87
2024-01-13,Talhão 06,Milho,20.63,0.0,34.73,197.03,7177.97
2024-01-13,Talhão 06,Milho,21.57,0.0,25.19,182.02,7210.78
2024-01-13,Talhão 08,Milho,25.07,0.0,36.33,196.84,5658.53
2024-01-13,Talhão 10,Milho,20.99,0.0,26.26,187.77,7561.82
2024-01-14,Talhão 08,Algodão,15.58,0.0,36.71,161.01,1967.2
2024-01-14,Talhão 08,Milho,14.4,0.0,27.75,175.36,5947.09
2024-01-14,Talhão 04,Algodão,14.76,0.0,31.87,154.64,1322.48
2024-01-14,Talhão 01,Soja,28.01,0.0,28.84,169.71,2614.57
2024-01-14,Talhão 01,Soja,25.05,0.0,28.32,163.83,2739.1
2024-01-14,Talhão 01,Algodão,38.52,23.37,34.19,207.1,1958.18
2024-01-14,Talhão 09,Soja,20.58,0.0,23.45,110.95,2265.53
2024-01-14,Talhão 05,Algodão,33.37,28.87,32.23,202.58,1884.28
2024-01-14,Talhão 07,Algodão,17.42,0.0,34.69,151.9,1732.43
2024-01-14,Talhão 02,Algodão,26.73,0.68,24.79,188.25,1455.82
2024-01-15,Talhão 06,Soja,28.57,0.0,25.73,145.64,2549.03
2024-01-15,Talhão 03,Milho,14.43,0.73,25.81,251.95,8126.48
2024-01-15,Talhão 09,Milho,16.68,0.0,26.67,162.77,6703.65
2024-01-15,Talhão 02,Trigo,28.07,0.0,23.34,115.1,1916.84
2024-01-15,Talhão 04,Trigo,23.12,21.56,22.82,136.63,3029.3
2024-01-15,Talhão 02,Soja,20.27,0.0,24.51,140.47,3027.38
2024-01-15,Talhão 03,Soja,28.23,17.5,22.92,160.31,2741.52
2024-01-15,Talhão 07,Soja,22.35,0.0,37.51,152.17,2263.35
2024-01-15,Talhão 02,Milho,16.85,0.35,39.18,155.09,5029.77
2024-01-15,Talhão 09,Algodão,25.42,0.0,32.72,176.46,1551.79
2024-01-16,Talhão 06,Trigo,20.51,0.0,18.82,138.15,3151.19
2024-01-16,Talhão 03,Trigo,36.7,13.24,22.72,142.03,2513.24
2024-01-16,Talhão 01,Algodão,29.55,11.96,32.03,200.17,2031.0
2024-01-16,Talhão 06,Trigo,20.73,0.0,19.16,106.21,2486.29
2024-01-16,Talhão 04,Milho,26.39,0.0,28.14,216.36,7185.99
2024-01-16,Talhão 01,Soja,23.73,0.0,18.2,179.9,3337.38
2024-01-16,Talhão 06,Algodão,29.98,4.18,31.25,192.16,1850.68
2024-01-16,Talhão 06,Trigo,17.79,1.82,22.59,135.04,3085.16
2024-01-16,Talhão 06,Soja,29.55,0.0,22.07,115.9,2000.27
2024-01-16,Talhão 01,Milho,17.72,0.0,33.68,213.57,8040.11
2024-01-17,Talhão 03,Soja,27.6,3.54,25.44,159.27,2751.89
2024-01-17,Talhão 04,Milho,37.91,33.39,30.15,193.13,6438.31
2024-01-17,Talhão 01,Milho,21.76,0.0,26.79,201.48,8333.56
2024-01-17,Talhão 02,Algodão,11.72,0.0,42.58,176.83,1175.38
2024-01-17,Talhão 02,Trigo,19.74,2.05,22.57,152.76,3531.4
2024-01-17,Talhão 04,Trigo,21.58,0.0,12.57,93.47,1972.18
2024-01-17,Talhão 02,Trigo,19.8,0.0,21.48,159.26,3567.31
2024-01-17,Talhão 02,Milho,35.63,23.84,34.08,218.8,6619.73
2024-01-17,Talhão 09,Soja,15.44,0.0,25.81,120.55,2520.9
2024-01-17,Talhão 01,Milho,16.53,0.86,28.31,190.58,8156.45
2024-01-18,Talhão 07,Milho,22.76,0.0,32.6,207.04,8003.48
2024-01-18,Talhão 03,Algodão,27.0,20.48,30.3,197.9,1987.04
2024-01-18,Talhão 07,Algodão,27.76,6.02,30.57,188.03,2035.68
2024-01-18,Talhão 10,Milho,18.82,2.47,24.74,210.46,8304.39
2024-01-18,Talhão 07,Trigo,20.81,2.59,34.83,97.44,1655.96
2024-01-18,Talhão 03,Soja,18.15,12.99,23.71,140.34,3074.18
2024-01-18,Talhão 04,Trigo,33.34,6.67,12.19,87.34,1318.46
2024-01-18,Talhão 03,Milho,27.61,1.41,35.38,209.88,6108.36
2024-01-18,Talhão 07,Milho,18.54,0.0,29.62,210.87,8634.81
2024-01-18,Talhão 08,Algodão,11.3,0.0,35.74,187.49,1613.92
2024-01-19,Talhão 02,Algodão,26.51,1.4,23.53,179.06,1571.85
2024-01-19,Talhão 10,Algodão,16.71,0.0,20.41,162.26,1645.08
2024-01-19,Talhão 05,Trigo,20.58,0.0,22.94,94.07,1914.69
2024-01-19,Talhão 05,Algodão,38.57,16.38,28.39,200.61,1922.27
2024-01-19,Talhão 04,Milho,23.15,0.0,21.81,234.32,8803.39
2024-01-19,Talhão 04,Soja,18.93,0.0,34.86,119.11,2090.36
2024-01-19,Talhão 02,Algodão,22.02,0.0,25.64,202.16,2151.65
2024-01-19,Talhão 10,Trigo,16.75,0.0,21.38,116.19,2657.78
2024-01-19,Talhão 02,Soja,30.02,0.0,24.85,154.02,2725.59
2024-01-19,Talhão 08,Soja,25.94,0.0,30.53,128.21,2109.3
2024-01-20,Talhão 05,Soja,16.48,0.49,26.51,148.72,3109.5
2024-01-20,Talhão 09,Soja,24.86,5.18,33.07,173.79,2986.46
2024-01-20,Talhão 06,Milho,23.18,0.0,31.61,197.0,7780.97
2024-01-20,Talhão 06,Algodão,11.78,0.0,23.61,160.17,1150.63
2024-01-20,Talhão 01,Trigo,17.0,0.0,13.53,152.84,3206.08
2024-01-20,Talhão 10,Milho,20.25,7.32,16.75,190.92,6287.01
2024-01-20,Talhão 10,Soja,11.77,0.0,18.05,196.57,2961.17
2024-01-20,Talhão 07,Milho,24.9,0.0,32.27,194.59,7689.17
2024-01-20,Talhão 05,Trigo,21.9,0.0,20.65,118.06,2578.21
2024-01-20,Talhão 03,Milho,14.45,0.0,29.95,210.45,6896.59
2024-01-21,Talhão 03,Trigo,13.74,3.18,24.59,100.35,1678.72
2024-01-21,Talhão 07,Algodão,21.97,0.0,31.65,198.98,2285.66
2024-01-21,Talhão 10,Trigo,26.76,7.99,19.9,122.5,2239.32
2024-01-21,Talhão 07,Milho,20.2,0.0,28.24,209.99,8751.45
2024-01-21,Talhão 10,Soja,18.14,3.21,18.78,144.1,2816.55
2024-01-21,Talhão 10,Soja,16.09,0.0,26.2,126.25,2659.78
2024-01-21,Talhão 03,Trigo,22.27,0.0,18.23,120.88,2705.87
2024-01-21,Talhão 07,Trigo,23.76,0.0,13.37,133.34,2543.62
2024-01-21,Talhão 02,Algodão,10.21,0.16,20.66,200.85,1545.01
2024-01-21,Talhão 04,Milho,20.17,3.08,31.41,222.61,8988.09
2024-01-22,Talhão 09,Trigo,13.89,0.0,12.81,144.77,2292.52
2024-01-22,Talhão 05,Trigo,17.48,10.52,21.17,80.13,1863.29
2024-01-22,Talhão 03,Milho,32.86,6.26,31.47,201.93,6320.33
2024-01-22,Talhão 04,Soja,15.4,0.0,27.69,131.7,2666.38
2024-01-22,Talhão 09,Algodão,26.18,0.0,26.32,169.32,1393.1
2024-01-22,Talhão 08,Milho,20.71,0.0,34.07,185.02,6931.85
2024-01-22,Talhão 07,Trigo,25.41,12.34,20.67,104.28,1787.45
2024-01-22,Talhão 05,Milho,23.54,0.0,28.44,177.93,7280.92
2024-01-22,Talhão 04,Milho,20.16,0.0,32.18,201.64,7842.97
2024-01-22,Talhão 03,Milho,23.0,0.0,30.84,196.5,7800.99
2024-01-23,Talhão 02,Algodão,31.69,10.24,24.82,175.5,1557.86
2024-01-23,Talhão 06,Soja,24.09,0.0,24.87,136.99,2968.15
2024-01-23,Talhão 03,Algodão,18.47,0.0,24.67,190.16,2081.97
2024-01-23,Talhão 04,Milho,17.71,0.0,31.63,200.98,7898.7
2024-01-23,Talhão 07,Algodão,9.92,0.0,35.72,178.42,1396.93
2024-01-23,Talhão 02,Soja,24.41,0.0,17.52,135.82,2549.46
2024-01-23,Talhão 07,Trigo,27.61,0.0,24.69,105.34,1707.72
2024-01-23,Talhão 04,Soja,31.44,0.0,27.5,122.66,1966.39
2024-01-23,Talhão 07,Algodão,25.75,14.67,36.04,179.4,1524.85
2024-01-23,Talhão 05,Milho,26.84,0.0,29.93,209.15,6716.59
2024-01-24,Talhão 05,Milho,19.85,0.0,23.03,223.93,8555.13
2024-01-24,Talhão 07,Soja,19.8,0.0,19.03,146.54,2924.4
2024-01-24,Talhão 09,Soja,19.75,22.26,20.63,172.85,3252.73
2024-01-24,Talhão 01,Milho,29.48,17.44,27.56,151.37,5091.6
2024-01-24,Talhão 06,Trigo,18.72,0.0,21.83,119.4,2709.77
2024-01-24,Talhão 08,Soja,22.88,0.0,30.47,150.2,2799.77
2024-01-24,Talhão 08,Milho,34.17,28.53,29.18,187.78,6353.52
2024-01-24,Talhão 10,Soja,20.94,0.0,31.28,134.04,2486.14
2024-01-24,Talhão 01,Algodão,29.05,11.01,26.58,175.77,1589.44
2024-01-24,Talhão 09,Milho,19.74,0.0,32.81,198.54,7519.3
2024-01-25,Talhão 02,Milho,19.86,0.0,32.16,178.53,6992.85
2024-01-25,Talhão 10,Algodão,15.46,0.0,31.15,197.2,2141.9
2024-01-25,Talhão 10,Soja,21.83,11.27,22.44,143.58,2906.21
2024-01-25,Talhão 05,Algodão,27.17,2.99,23.94,222.58,1981.32
2024-01-25,Talhão 05,Milho,29.01,10.68,30.45,203.62,6453.5
2024-01-25,Talhão 09,Milho,21.5,0.0,36.65,187.96,6633.67
2024-01-25,Talhão 02,Algodão,19.8,0.0,24.02,209.56,2205.39
2024-01-25,Talhão 01,Trigo,21.22,0.0,15.71,123.25,2543.29
2024-01-25,Talhão 09,Trigo,18.84,0.0,14.03,131.93,2788.08
2024-01-25,Talhão 03,Soja,22.25,10.72,20.72,172.0,3269.57
2024-01-26,Talhão 07,Algodão,18.49,8.08,27.43,151.0,1639.98
2024-01-26,Talhão 03,Algodão,20.43,4.59,33.61,214.54,2392.76
2024-01-26,Talhão 08,Milho,27.29,0.0,19.51,169.49,4909.84
2024-01-26,Talhão 09,Soja,15.82,0.0,25.91,138.72,2924.11
2024-01-26,Talhão 10,Algodão,20.55,0.0,28.78,212.12,2685.54
2024-01-26,Talhão 03,Soja,21.93,0.0,20.04,161.07,3045.71
2024-01-26,Talhão 03,Trigo,19.83,2.69,15.48,108.35,2282.31
2024-01-26,Talhão 09,Trigo,17.3,0.0,15.6,93.45,1987.15
2024-01-26,Talhão 06,Algodão,25.44,0.0,28.14,154.93,1493.38
2024-01-26,Talhão 10,Milho,15.72,0.0,30.56,233.6,9493.27
2024-01-27,Talhão 03,Soja,13.5,0.0,22.08,95.72,1458.33
2024-01-27,Talhão 05,Trigo,28.86,0.0,19.86,138.0,2646.79
2024-01-27,Talhão 06,Milho,26.86,10.7,23.01,198.0,6039.43
2024-01-27,Talhão 07,Algodão,18.86,4.64,34.43,203.2,2239.55
2024-01-27,Talhão 06,Trigo,19.15,0.0,20.87,141.06,3437.51
2024-01-27,Talhão 05,Trigo,16.36,0.0,25.36,135.74,2738.89
2024-01-27,Talhão 04,Trigo,20.48,0.0,23.51,88.75,1872.45
2024-01-27,Talhão 09,Soja,22.84,0.0,19.45,159.33,3018.02
2024-01-27,Talhão 09,Soja,20.07,8.24,21.33,129.68,2569.52
2024-01-27,Talhão 02,Trigo,24.68,7.84,18.52,118.35,2596.92
2024-01-28,Talhão 01,Milho,24.52,0.0,30.18,235.4,9464.19
2024-01-28,Talhão 06,Trigo,19.43,6.15,20.1,107.08,2413.44
2024-01-28,Talhão 04,Milho,16.16,0.0,33.81,206.46,7729.83
2024-01-28,Talhão 06,Trigo,22.56,0.0,18.2,137.66,3088.55
2024-01-28,Talhão 01,Milho,19.97,0.0,23.13,191.47,7460.29
2024-01-28,Talhão 03,Soja,25.31,8.62,15.85,173.76,2476.3
2024-01-28,Talhão 08,Milho,17.67,3.81,30.42,193.3,7776.85
2024-01-28,Talhão 08,Soja,22.84,0.0,28.91,132.81,2726.08
2024-01-28,Talhão 01,Algodão,21.75,3.9,24.71,162.76,1815.25
2024-01-28,Talhão 05,Soja,22.79,0.0,22.49,159.68,3211.83
2024-01-29,Talhão 06,Algodão,23.66,0.0,31.38,194.74,2257.54
2024-01-29,Talhão 10,Trigo,22.73,0.0,24.2,108.69,2281.93
2024-01-29,Talhão 09,Algodão,18.39,0.0,38.08,149.63,1657.79
2024-01-29,Talhão 05,Trigo,19.88,0.0,22.02,127.45,2774.73
2024-01-29,Talhão 02,Algodão,21.01,0.0,27.68,171.96,2056.49
2024-01-29,Talhão 08,Algodão,13.27,0.0,34.36,141.28,1273.61
2024-01-29,Talhão 05,Algodão,38.92,23.39,27.48,193.67,1738.95
2024-01-29,Talhão 02,Algodão,23.25,0.0,31.36,177.35,2011.02
2024-01-29,Talhão 06,Milho,25.5,0.0,28.7,189.29,6336.29
2024-01-29,Talhão 08,Milho,23.84,3.46,26.89,203.92,8506.0
2024-01-30,Talhão 09,Trigo,27.08,3.31,15.32,127.35,2338.57
2024-01-30,Talhão 08,Soja,18.52,0.0,15.57,128.93,2125.14
2024-01-30,Talhão 09,Trigo,23.97,0.0,18.21,144.77,3268.87
2024-01-30,Talhão 03,Algodão,24.75,9.14,26.33,185.3,2162.82
2024-01-30,Talhão 01,Milho,25.01,0.0,28.95,163.8,5394.8
2024-01-30,Talhão 09,Algodão,24.76,0.0,29.31,204.44,2639.28
2024-01-30,Talhão 03,Trigo,21.94,0.0,15.94,102.08,2095.49
2024-01-30,Talhão 07,Soja,20.54,0.0,36.45,135.15,2090.7
2024-01-30,Talhão 06,Milho,21.52,0.0,27.02,171.7,6895.46
2024-01-30,Talhão 03,Trigo,12.75,0.0,7.41,139.25,2181.39
2024-01-31,Talhão 01,Milho,23.88,0.0,25.58,170.99,6882.8
2024-01-31,Talhão 10,Algodão,28.06,7.58,27.1,183.91,1793.02
2024-01-31,Talhão 07,Soja,20.57,0.0,23.53,179.61,3648.3
2024-01-31,Talhão 08,Trigo,24.18,0.0,14.09,141.04,2804.05
2024-01-31,Talhão 10,Soja,16.93,0.0,25.72,144.63,2951.61
2024-01-31,Talhão 04,Milho,15.91,0.0,28.97,195.9,8250.34
2024-01-31,Talhão 03,Algodão,27.53,0.0,27.37,196.18,1847.78
2024-01-31,Talhão 10,Milho,21.17,0.0,31.54,207.63,8263.02
2024-01-31,Talhão 05,Milho,29.16,17.15,34.41,206.34,6306.16
2024-01-31,Talhão 01,Algodão,20.46,0.0,27.26,140.81,1699.87
2024-02-01,Talhão 07,Trigo,22.14,0.0,24.85,156.8,3229.52
2024-02-01,Talhão 07,Soja,16.65,0.0,30.0,160.56,3131.45
2024-02-01,Talhão 09,Algodão,18.27,0.0,29.61,154.66,1879.95
2024-02-01,Talhão 07,Trigo,22.15,0.0,19.23,145.47,3292.11
2024-02-01,Talhão 01,Soja,28.08,0.0,29.82,187.83,2850.09
2024-02-01,Talhão 02,Soja,20.49,0.0,19.43,114.65,2028.19
2024-02-01,Talhão 06,Algodão,14.11,0.0,29.8,171.73,1779.37
2024-02-01,Talhão 05,Algodão,40.0,41.36,31.2,149.21,1275.33
2024-02-01,Talhão 06,Trigo,21.99,0.0,19.91,109.68,2486.75
2024-02-01,Talhão 07,Algodão,18.64,1.95,35.31,220.67,2419.08
2024-02-02,Talhão 05,Trigo,26.3,0.0,20.85,126.49,2284.98
2024-02-02,Talhão 04,Algodão,24.28,0.0,33.55,201.31,2222.21
2024-02-02,Talhão 03,Soja,28.48,12.41,21.53,183.29,3067.27
2024-02-02,Talhão 06,Soja,23.74,7.97,22.27,153.23,3051.07
2024-02-02,Talhão 09,Milho,23.27,0.0,28.09,198.96,8604.06
2024-02-02,Talhão 07,Milho,13.78,0.0,44.27,241.65,5426.25
2024-02-02,Talhão 09,Algodão,23.73,5.24,35.28,190.42,2146.12
2024-02-02,Talhão 04,Algodão,19.3,0.64,35.83,177.29,2014.67
2024-02-02,Talhão 07,Trigo,22.3,0.0,31.2,109.43,2082.97
2024-02-02,Talhão 03,Trigo,21.82,2.24,27.23,144.19,2733.57
2024-02-03,Talhão 05,Soja,23.77,0.0,29.0,161.69,3218.26
2024-02-03,Talhão 02,Algodão,15.59,0.0,29.87,147.19,1631.02
2024-02-03,Talhão 06,Algodão,33.21,29.51,26.04,142.13,1300.9
2024-02-03,Talhão 08,Soja,20.27,0.52,32.28,146.77,2604.6
2024-02-03,Talhão 02,Algodão,16.21,0.0,22.04,203.01,2114.01
2024-02-03,Talhão 01,Soja,14.13,2.08,22.97,163.56,2718.55
2024-02-03,Talhão 10,Milho,26.45,0.0,29.1,149.53,5152.64
2024-02-03,Talhão 04,Soja,26.85,0.0,26.18,157.85,2579.31
2024-02-03,Talhão 02,Trigo,19.86,0.0,10.83,109.52,2102.16
2024-02-03,Talhão 01,Algodão,24.65,0.0,33.53,183.79,2177.76
2024-02-04,Talhão 08,Soja,19.13,0.0,27.4,153.7,3016.28
2024-02-04,Talhão 02,Trigo,23.5,5.49,24.29,132.07,2800.02
2024-02-04,Talhão 03,Soja,26.19,11.27,28.69,141.71,2179.17
2024-02-04,Talhão 05,Soja,18.03,0.0,21.71,194.82,3841.6
2024-02-04,Talhão 05,Milho,15.15,0.0,27.98,198.54,8546.13
2024-02-04,Talhão 02,Trigo,12.92,0.0,12.98,110.94,1925.18
2024-02-04,Talhão 04,Algodão,33.64,13.11,25.84,202.99,1877.12
2024-02-04,Talhão 07,Soja,18.5,1.34,24.51,152.77,3192.93
2024-02-04,Talhão 06,Milho,20.77,0.0,23.96,220.04,8647.69
2024-02-04,Talhão 06,Milho,20.51,0.0,23.37,205.83,7919.75
2024-02-05,Talhão 02,Milho,20.41,0.0,28.88,182.82,7752.18
